Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Discount Amount,Cost of Repairs,Total Sales per Employee,PC Market Price,Finance Amount,Credit Score,Channel,Priority,Payment Method,Storage Capacity,Storage Type,RAM,Purchase Date,Ship Date
Africa,Ethiopia,Gambela,CK Tech Store,4,Asus,ProArt StudioBook Pro X,Justin,Patel,950-397-0118,thomasstevens@example.org,Alexa Hopkins,Returns,20111,24688,47,0,358,20477,14584,523,Online,Medium,Finance,256GB,HDD,4GB,1/1/2024,1/30/2024
North America,Illinois,Decatur,Frankies Hardware and Software,1,HP,Pavilion,Amy,Mcintyre,001-428-147-5883x3180,marycollins@example.net,Curtis Tucker,New Sales,25190,27445,940,0,446,27136,0,615,Online,Medium,Bank Transfer,256GB,HDD,16GB,5/19/2023,5/24/2023
North America,Michigan,Novi,S & A Computer Place,10,Lenovo,ThinkCentre M920 Tiny,Robert,Zamora,+1-062-522-4316x98408,lynn99@example.com,Teresa Martin,New Sales,26836,31262,753,0,275,27275,20207,602,Online,Medium,Finance,256GB,HDD,16GB,1/31/2023,2/12/2023
Africa,Nigeria,Kogi,ABC Computers,1,Samsung,Notebook 9 Pen,Madeline,Hicks,830.639.6177,lanevanessa@example.net,Pamela Morgan,Repairs,28464,32926,778,2371,800,29309,0,540,Online,Medium,Cash,256GB,SSD,16GB,2/13/2022,2/27/2022
North America,Florida,Palm Bay,LJ Computers,7,Apple,Apple Macintosh Classic,Cindy,Bush,001-165-106-3002x79905,granttina@example.com,Alexis Murray,New Sales,28279,32964,811,0,742,29261,0,707,Offline,Low,Bank Transfer,256GB,HDD,2GB,12/26/2021,N/A
North America,New York,Rochester,Jacks Hardware,8,MSI,Alpha 15,Joe,Hernandez,7045539942,aprilhawkins@example.com,Gabrielle Patterson,Returns,14169,19139,499,0,594,18733,0,716,Online,Low,Bank Transfer,500GB,SSD,2GB,12/5/2023,12/10/2023
North America,Ohio,Cincinnati,GH PC Shop,7,HP,Pavilion,Brian,White,(847)550-2151x516,kathleen15@example.net,Mr. Nathan Douglas,Repairs,25545,28775,225,3077,198,27903,0,740,Online,Low,Bank Transfer,256GB,HDD,8GB,11/8/2021,11/19/2021
Africa,Tanzania,Morogoro,ABC Computers,1,HP,Chromebook,Tyler,Garcia,(571)057-2375x5420,dorothy69@example.com,Alicia Evans,Repairs,15480,19907,293,2364,823,18154,0,530,Online,High,Cash,1TB,SSD,2GB,5/8/2022,5/17/2022
Africa,Morocco,Chichaoua,Jacks Hardware,10,Lenovo,ThinkCentre M920 Tiny,Steven,Smith,750.289.7922x084,foleybrenda@example.org,John Whitney,Returns,14255,16474,252,0,975,14922,0,711,Offline,Low,Cash,1TB,HDD,16GB,1/30/2024,N/A
Africa,Nigeria,Jigawa,CK Tech Store,9,HP,Spectre,Christina,Johnson,531.061.5410x4833,dawsonsamuel@example.com,Mary Shaw,Returns,24970,29181,996,0,219,27922,40178,569,Online,High,Finance,500GB,SSD,4GB,10/16/2022,11/14/2022
North America,California,San Francisco,XYZ Tech,10,Acer,Predator Triton 500,Margaret,Bates,129-322-9357x7603,gonzalezann@example.net,Alyssa Martinez,New Sales,8591,13444,206,0,896,8806,0,524,Offline,Medium,Bank Transfer,256GB,HDD,4GB,6/20/2023,N/A
North America,North Carolina,Hickory,Mini Tech,10,MSI,GP65 Leopard,Frances,Merritt,778-591-3844x80277,ortegazachary@example.com,Eric Hall,Returns,18047,22478,317,0,436,20297,29922,490,Offline,Low,Finance,256GB,HDD,8GB,7/3/2021,N/A
North America,North Carolina,Gastonia,KyaSand Tech Gadgets,6,Lenovo,ThinkPad X1 Carbon,Karen,Franklin,2569829683,brooksnatalie@example.org,Catherine Cuevas,Repairs,29261,32572,187,2416,454,31576,0,709,Online,Medium,Cash,256GB,HDD,4GB,10/13/2021,10/26/2021
Africa,Nigeria,Plateau,XYZ Tech,5,Asus,ZenBook Flip S UX371,Joseph,Duncan,049-765-3963x27777,johnsonamy@example.org,Brian Gonzales,New Sales,3666,7703,408,0,479,4444,0,802,Offline,High,Bank Transfer,500GB,SSD,2GB,3/15/2021,N/A
North America,New York,Long Island City,XYZ Tech,9,Asus,VivoBook S14,Erika,Davis,001-841-744-7899x61633,riversmonica@example.com,Jake Lee,Returns,18697,23444,498,0,518,20562,0,534,Online,High,Cash,1TB,SSD,8GB,2/2/2023,2/14/2023
North America,Pennsylvania,Philadelphia,Ricks Computers,3,Toshiba,Libretto,Robert,Hardy,+1-776-180-1229x445,justinbeck@example.com,Leah Watts,Returns,16157,19618,436,0,945,16942,0,616,Online,High,Bank Transfer,256GB,HDD,2GB,1/24/2022,2/16/2022
North America,Ohio,Akron,GH PC Shop,2,Apple,Apple Mac Mini,Edward,Hunter,542-079-7607x2763,erikduncan@example.com,Ann Johnson,Second-hand Sales,23925,26464,102,0,103,24743,0,660,Online,Medium,Cash,256GB,HDD,16GB,5/3/2021,5/26/2021
Africa,Morocco,El Hajeb,ABC Computers,2,Toshiba,Tecra,Lori,Foster,+1-469-066-1660x699,kenneth71@example.org,Gwendolyn Thomas,Returns,8412,11423,923,0,368,8470,0,537,Online,Low,Bank Transfer,500GB,SSD,8GB,8/14/2021,8/16/2021
Africa,Egypt,Qalyubia,GHI Machines,6,Asus,ROG Strix Scar III,Lisa,Cobb,6223464641,janicemarshall@example.com,Christina Garza,Repairs,26373,29234,238,3162,915,28558,0,688,Online,Low,Bank Transfer,500GB,HDD,4GB,12/26/2021,1/17/2022
North America,California,Anaheim,Ricks Computers,4,Samsung,Notebook 9,Olivia,Robinson,(336)396-6928,jacksonjudith@example.com,Alyssa Martinez,Repairs,29127,31633,269,2453,510,31374,11764,441,Online,Medium,Finance,1TB,HDD,16GB,12/6/2022,12/7/2022
Africa,Botswana,Kgalagadi,ABC Computers,4,Samsung,Notebook Odyssey,Amanda,Hensley,+1-700-249-6635x228,zlittle@example.net,Justin Schroeder,Returns,5748,7975,781,0,175,7411,0,811,Online,Medium,Bank Transfer,1TB,HDD,16GB,8/15/2022,9/4/2022
Africa,Morocco,Jerada,GH PC Shop,7,Samsung,Galaxy Chromebook 2,Dawn,Glover,+1-598-559-3526x80806,wesley76@example.com,Amy Owens,New Sales,15145,18081,51,0,925,17538,0,651,Online,Medium,Cash,256GB,SSD,2GB,12/30/2021,1/3/2022
North America,New York,Glen Cove,DEF Machines,9,Dell,Precision,Glen,Barker,668-722-3534x697,john16@example.net,Gabrielle Patterson,Returns,14545,17132,226,0,581,15858,0,613,Offline,Low,Bank Transfer,500GB,SSD,16GB,5/7/2022,N/A
Africa,Angola,Lunda Sul,GHI Machines,7,Microsoft,Surface Studio,Gary,Lopez,565.627.5245x65341,csanchez@example.org,Ruben Snow,Repairs,16495,19641,591,4100,548,17258,0,471,Offline,Low,Cash,500GB,SSD,8GB,11/29/2022,N/A
North America,New York,White Plains,Frankies Hardware and Software,7,MSI,GP76 Leopard,Jay,Moore,961.830.3572x188,cnavarro@example.com,Janet Hall,New Sales,25153,28570,711,0,856,25776,0,667,Online,Medium,Bank Transfer,256GB,SSD,4GB,4/22/2021,5/16/2021
Africa,Ghana,Volta,DEF Machines,4,Asus,ZenBook Flip S UX371,Natalie,Morgan,866340192,progers@example.org,Amanda Hurley,New Sales,28262,32192,932,0,329,28671,14299,758,Offline,Low,Finance,1TB,SSD,2GB,2/5/2022,N/A
Africa,Ghana,Central,GHI Machines,9,Asus,ProArt StudioBook Pro X,Tyrone,Peterson,+1-678-418-9218x113,riverajennifer@example.com,Kevin Lee,Repairs,8531,10746,738,1420,22,9198,0,447,Online,High,Bank Transfer,1TB,HDD,2GB,9/20/2021,10/4/2021
Africa,Morocco,Nador,Western International PCs,10,Microsoft,Surface Hub,Megan,Fernandez,467.257.6637x798,petererickson@example.org,Justin Kemp,Repairs,29778,33250,955,1520,360,31954,0,706,Offline,Low,Cash,1TB,SSD,2GB,8/15/2021,N/A
North America,Florida,Hialeah,S & A Computer Place,6,Dell,Vostro,Matthew,Turner,747.579.0483,fmeyer@example.net,Jordan Jensen,Returns,28909,32896,148,0,533,30655,0,646,Online,Low,Bank Transfer,1TB,HDD,2GB,3/28/2022,4/6/2022
North America,Michigan,Holland,Western International PCs,8,Asus,ProArt StudioBook Pro X,Katelyn,Spencer,272.483.1463x0349,onichols@example.com,Kevin Padilla,Second-hand Sales,15889,20521,305,0,357,18495,0,809,Online,Medium,Cash,256GB,SSD,16GB,5/19/2023,5/21/2023
North America,New York,White Plains,CK Tech Store,7,Apple,Apple Macintosh SE,Sara,Sellers,+1-671-151-1180x414,oscarrodriguez@example.net,Ashley Miranda,Returns,28971,33323,944,0,996,29622,0,787,Offline,High,Cash,500GB,HDD,16GB,2/10/2023,N/A
Africa,South Africa,Eastern Cape,CK Tech Store,9,Acer,Nitro 5,Linda,Smith,001-918-856-5729x343,marcus23@example.com,Daniel Lane,Second-hand Sales,28622,32453,666,0,535,31077,458,682,Online,High,Finance,1TB,HDD,8GB,12/14/2021,12/30/2021
Africa,Botswana,Central,Jacks Hardware,5,Apple,Apple iMac,Michele,Thompson,+1-254-179-8857x2930,davidgonzales@example.com,Carrie Gonzalez,New Sales,26581,30680,318,0,907,28801,28982,479,Offline,Medium,Finance,256GB,SSD,16GB,9/13/2022,N/A
North America,Illinois,Champaign,CK Tech Store,1,Microsoft,Surface Pro,Jill,Hall,(182)070-6251x948,wandasanchez@example.org,Daniel Serrano,Second-hand Sales,15415,18292,227,0,995,15885,0,592,Offline,High,Cash,256GB,SSD,4GB,12/18/2023,N/A
Africa,Egypt,Luxor,A & A PCs,1,Toshiba,Qosmio,Jeremy,Murillo,(513)366-6945,qyoung@example.org,Jeffrey Nelson,Repairs,10239,14577,2,1715,234,12682,0,524,Offline,Medium,Bank Transfer,500GB,HDD,8GB,2/28/2024,N/A
North America,Texas,Dallas,Ricks Computers,10,Microsoft,Surface Go,Luis,Lee,605.038.2324x7718,lgonzalez@example.net,Ashley Wright,Returns,27585,30997,121,0,380,29903,38144,427,Online,High,Finance,256GB,HDD,2GB,4/23/2023,5/3/2023
Africa,Angola,Luanda,XYZ Tech,5,MSI,Alpha 15,Jennifer,Wong,671.314.0995x65566,jonespamela@example.net,Aaron Thomas,Second-hand Sales,4315,8153,285,0,18,5347,33343,794,Online,Medium,Finance,1TB,SSD,16GB,12/31/2022,1/29/2023
Africa,Angola,Malanje,Ricks Computers,3,MSI,GP76 Leopard,Shirley,Hood,312-928-5961x92607,osbornandrew@example.net,Aaron Thomas,Second-hand Sales,20042,22490,408,0,697,20518,0,436,Online,Medium,Bank Transfer,256GB,SSD,2GB,2/9/2024,3/8/2024
North America,Pennsylvania,Erie,Benjis Tech,2,Toshiba,Portege,Joshua,Davis,587-640-8747x4741,jessica95@example.org,Lisa Graham,Returns,5773,7908,754,0,247,7012,0,531,Offline,Medium,Cash,256GB,HDD,16GB,7/21/2021,N/A
Africa,Kenya,Samburu,Mini Tech,10,Samsung,Notebook Odyssey,Patricia,Alexander,(118)311-2566x4934,jasonbaker@example.net,Amy Johnson,New Sales,22206,24818,760,0,747,22613,0,833,Online,Medium,Bank Transfer,1TB,HDD,2GB,11/1/2023,11/29/2023
North America,Ohio,Dayton,S & A Computer Place,3,Acer,Predator Helios 300,Amber,Palmer,+1-189-871-6975x11262,kristenmcdonald@example.net,Erin Tucker,Second-hand Sales,19723,23810,48,0,809,20418,0,732,Offline,Low,Bank Transfer,256GB,SSD,4GB,6/30/2022,N/A
North America,California,Huntington Beach,Jacks Hardware,2,MSI,Alpha 15,Kristopher,Price,009-646-1961x6856,alvarezdawn@example.net,Sean Rodriguez,Repairs,9172,13357,564,1439,908,10830,0,710,Online,Medium,Bank Transfer,500GB,SSD,2GB,6/28/2023,7/12/2023
North America,Ohio,Cleveland,Western International PCs,3,MSI,GE76 Raider,Jasmine,Sutton,(216)351-3481x64738,colsen@example.com,Roger Cole,New Sales,21906,26494,387,0,347,25863,0,727,Offline,Low,Bank Transfer,256GB,SSD,4GB,4/26/2022,N/A
North America,Michigan,Midland,Jacks Hardware,8,HP,Envy,Eric,Allen,(984)118-6973,scollins@example.org,Kevin Padilla,Second-hand Sales,18369,22042,492,0,62,21946,740,533,Online,Low,Finance,256GB,SSD,4GB,9/8/2023,9/23/2023
Africa,Nigeria,Gombe,Mini Tech,4,Apple,Apple Mac Mini,Randy,Gardner,106.351.5523,robert29@example.com,Diana Waters,Repairs,26766,30321,416,1411,419,27618,0,761,Offline,Low,Bank Transfer,1TB,SSD,8GB,10/24/2021,N/A
Africa,Morocco,Fes-Meknes,GH PC Shop,10,Apple,Apple Macintosh Classic,Heather,Fuller,016-257-0687x7693,parksdylan@example.org,Emma Scott,Repairs,27458,31967,124,3955,619,29359,0,561,Offline,Medium,Bank Transfer,500GB,HDD,4GB,2/9/2024,N/A
Africa,Nigeria,Bayelsa,ABC Computers,8,Microsoft,Surface Pro,Nicole,Russell,508.223.8622x62616,christine61@example.com,Diana Waters,Repairs,28611,31261,581,4750,255,30096,0,406,Offline,High,Bank Transfer,500GB,SSD,8GB,7/2/2021,N/A
North America,Pennsylvania,Hazleton,A & A PCs,2,Microsoft,Surface Laptop,Jessica,Lester,830.585.1881x744,rjohnson@example.com,Julia Dodson,Returns,6314,9732,336,0,414,9428,36010,502,Offline,High,Finance,500GB,SSD,2GB,1/6/2022,N/A
North America,New York,Valley Stream,Frankies Hardware and Software,1,Samsung,Notebook 7 Spin,Misty,Smith,(374)322-5755,dominguezemily@example.org,Victoria Hodges,Second-hand Sales,21657,24951,580,0,356,23801,37278,798,Offline,High,Finance,500GB,HDD,8GB,4/1/2021,N/A
Africa,Kenya,Garissa,Greens Laptops and PCs,9,HP,Probook,Scott,Bowen,930.185.1350x658,nholmes@example.net,David Ellis,Repairs,11045,13431,56,1215,351,11340,0,849,Online,Medium,Bank Transfer,500GB,HDD,8GB,3/5/2024,3/21/2024
North America,Pennsylvania,Easton,DEF Machines,9,Apple,Apple Lisa,Monica,Warren,(428)005-7049,nwilson@example.org,Carl Davis,Repairs,15250,17826,946,1386,31,17817,0,622,Online,High,Cash,256GB,SSD,8GB,12/28/2023,1/4/2024
Africa,Botswana,Central,Mini Tech,1,Toshiba,Chromebook,Christopher,Mack,-4245,kara64@example.org,Lisa Williams,Repairs,7456,12153,138,3837,86,10644,0,748,Offline,Low,Bank Transfer,1TB,SSD,2GB,12/24/2021,N/A
North America,Georgia,Atlanta,Mini Tech,2,Apple,Apple Macintosh SE,Ronald,Rogers,(577)552-4858x52901,shelleysanchez@example.com,Jacqueline Rice,Returns,10892,14629,827,0,896,11661,0,618,Offline,Medium,Cash,500GB,HDD,2GB,9/22/2021,N/A
North America,Georgia,Warner Robins,CK Tech Store,9,Samsung,Notebook 9 Pen,Melody,Smith,+1-214-407-2349x631,chasedavid@example.com,Joe Thomas,Returns,19324,21817,772,0,745,20368,0,590,Online,High,Cash,1TB,SSD,4GB,2/13/2023,2/20/2023
North America,Illinois,Naperville,GHI Machines,2,MSI,GS75 Stealth,Karen,Peterson,(961)907-3642x497,johnsonelizabeth@example.org,Curtis Tucker,New Sales,21047,25280,887,0,207,22104,0,525,Online,High,Cash,500GB,HDD,2GB,12/16/2021,12/21/2021
North America,Ohio,Dayton,Frankies Hardware and Software,3,MSI,Modern 15,Mark,Church,(090)918-9047,rachel03@example.org,Erin Tucker,New Sales,24285,26571,935,0,582,25414,0,776,Offline,Low,Bank Transfer,500GB,HDD,8GB,11/12/2021,N/A
Africa,Morocco,Fahs Anjra,LJ Computers,10,Apple,Apple Macintosh SE,Jeffery,Santana,017.122.3959,kristina54@example.net,Gwendolyn Thomas,Repairs,16840,20753,101,3071,867,18504,0,720,Offline,Low,Bank Transfer,500GB,SSD,2GB,6/8/2021,N/A
North America,Illinois,Orland Park,KyaSand Tech Gadgets,5,Asus,ProArt StudioBook Pro X,Heidi,Hoffman,520.453.0011,griffithleslie@example.com,Katie Fernandez,New Sales,22005,25935,21,0,33,24440,0,424,Online,Medium,Cash,1TB,SSD,8GB,8/7/2021,8/11/2021
Africa,Kenya,Makueni,Benjis Tech,2,HP,Spectre,Nicholas,Moore,001-788-534-0717,michellejohnson@example.org,David Ellis,Repairs,23214,26140,873,3638,770,25704,35519,501,Offline,High,Finance,500GB,SSD,8GB,5/6/2021,N/A
North America,Texas,Odessa,CK Tech Store,8,Dell,G Series,Joshua,Blake,+1-727-742-5869x8248,john41@example.net,Ashley Wright,Second-hand Sales,7059,9754,772,0,447,7624,0,419,Offline,Medium,Cash,256GB,SSD,4GB,1/21/2023,N/A
North America,Illinois,Peoria,LJ Computers,10,Samsung,Notebook 9,Valerie,Parks,472-563-2115,ivan89@example.net,Jerry Cox,Repairs,11849,15629,615,4566,277,12492,0,674,Online,Low,Cash,500GB,HDD,8GB,2/20/2023,3/8/2023
Africa,Tanzania,Songwe,Mini Tech,5,MSI,P65 Creator,Matthew,Jimenez,001-457-935-5098,waltermoore@example.com,Mary Fisher,Second-hand Sales,25725,28575,622,0,167,26224,0,605,Offline,High,Cash,1TB,HDD,16GB,1/9/2023,N/A
Africa,Angola,Cunene,ABC Computers,6,Samsung,Galaxy Book S,Brittney,Burton,(994)771-4591x68717,vdominguez@example.net,James Thornton,Repairs,15007,18221,541,3485,372,16579,0,415,Online,Low,Cash,1TB,HDD,2GB,10/16/2023,10/19/2023
North America,Florida,West Palm Beach,Ricks Computers,3,Dell,Inspiron,Joseph,Mcdonald,001-170-030-8817x815,thomas11@example.net,Raymond Larson,Repairs,20911,23573,303,1289,594,23548,0,742,Online,Medium,Bank Transfer,500GB,SSD,8GB,2/24/2024,3/2/2024
Africa,South Africa,North West,Ricks Computers,10,Apple,Apple MacBook Pro,Robert,Riggs,710-830-3576x868,loretta03@example.net,Mary Nelson,New Sales,7359,11984,643,0,577,9632,2502,740,Offline,Medium,Finance,256GB,HDD,16GB,5/16/2022,N/A
North America,Ohio,Springfield,CK Tech Store,3,Samsung,Notebook 9,Bethany,Villegas,-2650,anna06@example.net,Jason Gentry,Returns,20747,24968,366,0,279,22222,0,402,Online,Low,Bank Transfer,256GB,SSD,4GB,4/12/2021,5/10/2021
North America,New York,Long Beach,Ricks Computers,8,Acer,Swift 3,Matthew,Castaneda,412.651.8217,steeleapril@example.com,Gabrielle Patterson,New Sales,18989,23301,891,0,470,21444,0,651,Online,Medium,Cash,256GB,HDD,2GB,9/12/2023,9/13/2023
Africa,Morocco,Figuig,ABC Computers,1,MSI,GP65 Leopard,Jeffrey,Lowe,+1-992-480-6388x49775,edwardsnancy@example.net,Emma Scott,New Sales,22747,26404,305,0,798,24402,0,721,Online,Medium,Bank Transfer,500GB,SSD,8GB,11/30/2023,12/12/2023
North America,North Carolina,Durham,ABC Computers,6,HP,Omen,Robert,Lee,(057)789-9200,kathrynalexander@example.com,Robert Wood,Second-hand Sales,5654,8939,266,0,236,7529,7055,664,Online,Low,Finance,500GB,SSD,4GB,5/22/2022,6/4/2022
Africa,Egypt,New Valley,GH PC Shop,6,Microsoft,Surface Neo,Christopher,Howell,783-087-8647x85348,romanjulie@example.com,Jeffrey Nelson,Second-hand Sales,28200,31121,69,0,299,28262,18415,420,Online,Medium,Finance,1TB,HDD,8GB,1/4/2022,1/26/2022
North America,Georgia,Sandy Springs,ABC Computers,7,Microsoft,Surface Go,Joseph,Gonzales,(796)681-4892,jhuynh@example.org,Chris Jones,Returns,19239,24041,164,0,427,22471,0,480,Offline,High,Bank Transfer,256GB,SSD,2GB,12/30/2022,N/A
North America,New York,New York,ABC Computers,5,HP,Chromebook,Daniel,Baker,(578)527-2147,danielrobert@example.com,Alan Newman,Repairs,9965,14187,959,4354,810,10120,0,465,Offline,Medium,Cash,1TB,SSD,8GB,5/29/2022,N/A
Africa,Tanzania,Dar es Salaam,CK Tech Store,5,HP,Envy,Lucas,Gray,519-182-3569x38417,feliciamiller@example.com,Alicia Evans,Returns,22624,27301,218,0,975,23416,9544,809,Online,Medium,Finance,500GB,SSD,8GB,3/25/2021,4/17/2021
Africa,Ghana,Upper East,Benjis Tech,8,Microsoft,Surface Pro,Deborah,Williams,+1-020-791-9037x276,samanthaestrada@example.com,Kevin Lee,Second-hand Sales,8282,13126,620,0,805,8735,0,737,Online,Medium,Bank Transfer,500GB,HDD,8GB,7/13/2022,8/2/2022
North America,California,San Francisco,Jacks Hardware,7,MSI,GE76 Raider,Joy,Carrillo,(081)223-1827,jeffreyevans@example.com,Ryan Bradley,Returns,29511,33893,412,0,63,31803,0,629,Offline,Low,Cash,500GB,SSD,16GB,8/3/2021,N/A
Africa,Ghana,Brong-Ahafo,GHI Machines,7,Microsoft,Surface Laptop,Susan,Macdonald,992.683.5058x802,gerald99@example.com,Troy Howell,New Sales,6020,8536,182,0,47,6025,0,481,Online,Medium,Bank Transfer,256GB,HDD,8GB,10/18/2023,11/6/2023
Africa,Morocco,Casablanca-Settat,Greens Laptops and PCs,7,Acer,ConceptD 5,Adam,Watts,(732)552-6977,laurieshaffer@example.org,Gina Day,New Sales,13855,18730,940,0,362,15581,0,544,Offline,Low,Bank Transfer,1TB,SSD,2GB,11/7/2021,N/A
Africa,Tanzania,Pemba Kusini,A & A PCs,1,Acer,Predator Helios 300,Kenneth,Wang,3804769539,johnsondaniel@example.org,Alicia Evans,Returns,29958,32358,660,0,120,30409,24692,479,Online,Low,Finance,500GB,SSD,4GB,2/8/2022,2/21/2022
Africa,Kenya,Kilifi,ABC Computers,7,Lenovo,IdeaPad 5,Jorge,Taylor,655.329.4373x50508,christopherbaker@example.com,Danielle Cole,Returns,2700,6688,44,0,917,3536,0,599,Online,High,Bank Transfer,256GB,HDD,8GB,6/8/2021,6/26/2021
Africa,South Africa,KwaZulu-Natal,S & A Computer Place,1,Acer,Chromebook Spin 311,Sarah,Watson,001-927-035-6451,autumn31@example.com,Carol Smith,New Sales,21560,24358,82,0,953,22953,31088,420,Online,High,Finance,1TB,SSD,16GB,9/20/2021,10/5/2021
Africa,Kenya,Kwale,KyaSand Tech Gadgets,4,HP,Pavilion,Rachel,Deleon,752-574-3499,heather30@example.com,Amy Johnson,Returns,28725,31579,585,0,178,31311,0,582,Offline,Low,Bank Transfer,256GB,SSD,4GB,2/13/2022,N/A
Africa,Botswana,North-West,DEF Machines,10,Toshiba,Qosmio,Amber,Gibson,+1-766-770-0965x024,wbender@example.com,Madison Davis,Second-hand Sales,23591,27049,513,0,439,25667,0,413,Offline,Low,Bank Transfer,1TB,SSD,2GB,10/28/2023,N/A
North America,Georgia,Peachtree City,XYZ Tech,7,Dell,G Series,Brian,Hamilton,(448)465-9135,hollowaychristine@example.com,Christine Ramirez,Returns,23756,27895,463,0,481,23887,0,691,Offline,Low,Bank Transfer,256GB,SSD,16GB,4/26/2023,N/A
North America,Pennsylvania,Hermitage,Benjis Tech,8,Samsung,Notebook 9 Pen,Angela,Jackson,(825)206-3442x6304,dgonzales@example.org,Lisa Graham,New Sales,20987,24612,343,0,897,24033,0,803,Online,High,Bank Transfer,500GB,SSD,4GB,12/31/2022,1/27/2023
Africa,South Africa,Western Cape,Mini Tech,5,MSI,Modern 15,Marcus,Baldwin,+1-308-307-6007x3765,lopezmelissa@example.com,Mrs. Barbara Davenport,Second-hand Sales,8699,11483,275,0,106,8821,0,831,Online,High,Bank Transfer,256GB,SSD,2GB,3/12/2023,3/22/2023
Africa,Egypt,Qalyubia,GH PC Shop,8,HP,Stream,Kyle,May,(164)686-5298x5710,uwilliams@example.org,Evan Scott,Second-hand Sales,7495,11312,361,0,612,8401,0,450,Online,Low,Cash,1TB,HDD,16GB,11/3/2023,12/2/2023
North America,Illinois,Hoffman Estates,CK Tech Store,7,Dell,Latitude,Lee,Rosario,(882)593-0944,dudleydavid@example.com,Katie Fernandez,Repairs,16850,20387,639,2661,797,17105,0,451,Online,Low,Cash,256GB,SSD,8GB,1/18/2022,1/23/2022
Africa,Kenya,Kwale,ABC Computers,2,MSI,GS66 Stealth,Thomas,Miller,+1-340-897-1116x57897,watsontammy@example.com,Misty Green,Repairs,8018,12379,469,4711,342,12249,0,791,Online,High,Bank Transfer,256GB,SSD,8GB,2/26/2023,3/8/2023
Africa,Egypt,Beheira,GHI Machines,6,Asus,ROG Zephyrus S GX701,Matthew,Davis,468.199.0220,heatherlang@example.com,Michael Gibson,New Sales,25211,27992,674,0,951,25835,22755,425,Offline,High,Finance,1TB,HDD,16GB,6/8/2022,N/A
Africa,Morocco,Khenifra,KyaSand Tech Gadgets,6,Lenovo,Legion 5,Renee,Garcia,660.000.5849,adavis@example.com,Kelly Mitchell,Second-hand Sales,25946,28672,214,0,39,26353,0,786,Offline,High,Bank Transfer,1TB,SSD,8GB,8/17/2023,N/A
North America,Ohio,Warren,Ricks Computers,8,Apple,Apple MacBook Air,Laura,Williams,269.307.0137,robertmartin@example.net,Roger Cole,New Sales,25226,29604,614,0,103,28861,0,670,Offline,Medium,Cash,1TB,SSD,4GB,8/16/2022,N/A
Africa,Kenya,Mombasa,Ricks Computers,1,HP,Stream,Christopher,Davenport,815-253-9412x946,gibsonjessica@example.net,Misty Green,Returns,22351,26403,510,0,830,23242,38254,538,Online,High,Finance,1TB,HDD,2GB,10/3/2021,10/29/2021
Africa,Botswana,South-East,Western International PCs,6,HP,Pavilion,Katrina,Walker,051.753.5348,danielle88@example.com,Karen Hale,Returns,15794,19164,928,0,332,18403,0,514,Offline,High,Bank Transfer,500GB,HDD,4GB,7/19/2022,N/A
North America,Texas,Corpus Christi,Frankies Hardware and Software,3,Acer,Swift 3,Marvin,Foster,+1-121-916-5450x4732,robert57@example.org,Lori Washington,Repairs,20900,25338,261,1748,31,23711,38241,618,Offline,Medium,Finance,256GB,HDD,4GB,11/19/2021,N/A
Africa,Botswana,North-West,Frankies Hardware and Software,3,MSI,GP65 Leopard,Beth,Flores,806.967.8399x004,wpadilla@example.net,Lisa Williams,Second-hand Sales,3394,8331,120,0,646,4005,40729,701,Offline,High,Finance,1TB,SSD,4GB,10/14/2021,N/A
Africa,Morocco,Guelmim-Oued Noun,Mini Tech,4,Acer,Spin 5,Richard,Anderson,772.202.8111x100,natalie73@example.com,Jessica Thomas,New Sales,8173,10203,823,0,940,9561,0,791,Offline,Low,Bank Transfer,1TB,HDD,8GB,4/28/2021,N/A
Africa,Ghana,Eastern,Western International PCs,4,HP,Elitebook,Karen,Arnold,(857)223-1223x853,phunter@example.com,Troy Howell,New Sales,19101,21295,48,0,913,19692,0,676,Offline,High,Cash,1TB,SSD,16GB,3/29/2023,N/A
Africa,Ghana,Upper East,KyaSand Tech Gadgets,7,Apple,Apple MacBook Pro,Alison,Mccall,001-331-280-7084x668,brianbrown@example.com,Sheila Nichols,Repairs,4493,8161,244,2552,630,7823,0,621,Offline,Medium,Bank Transfer,500GB,HDD,2GB,7/16/2022,N/A
North America,Florida,Orlando,Jacks Hardware,1,Toshiba,Tecra,Kaitlyn,Robertson,+1-589-508-5360x7687,vquinn@example.net,Alexis Murray,New Sales,7768,12511,977,0,334,11534,27634,777,Online,High,Finance,1TB,SSD,8GB,11/6/2022,11/13/2022
North America,Texas,Corpus Christi,Jacks Hardware,3,HP,ZBook,Brian,Carney,(340)362-8885x6151,istone@example.com,Lauren Morales,Repairs,14707,18821,152,2027,887,18229,0,658,Online,Medium,Cash,500GB,HDD,16GB,2/2/2023,3/4/2023
Africa,Egypt,Aswan,Mini Tech,8,Acer,Nitro 5,Linda,Morales,404.072.9218,jamesday@example.org,Jacob Hudson,New Sales,3753,5898,739,0,612,4729,0,662,Online,High,Cash,1TB,HDD,8GB,3/24/2021,3/29/2021
